smiles,logp,mw,tpsa,hbd,hba,rotbonds,qed,sas
C[C@@H]1CCC=C2CC[C@@H]3[C@@H](C3(C)C)[C@]21C,4.415000000000004,204.35699999999997,0.0,0,0,0,0.5125130456348208,4.249697965332963
C[C@@H]1CCCC2=CC[C@@H]3[C@@H](C3(C)C)[C@]21C,4.415000000000004,204.35699999999997,0.0,0,0,0,0.5125130456348208,4.216703593850786
C[C@@H]1CC[C@@H]2[C@@H]1[C@H]1[C@@H](CC[C@@]23CO3)C1(C)C,3.4837000000000025,220.35599999999994,12.53,0,1,0,0.5693403805665861,4.831340440832886
CC1=CCC[C@@]2(C)CC[C@@H]3C(C)(C)C[C@@]132,4.5591000000000035,204.357,0.0,0,0,0,0.5074101063945532,4.878904995727096
CC1C2OC2C23CC1C(C)(C)C2CCC3C,3.4821000000000026,220.35599999999997,12.53,0,1,0,0.5693539897931837,6.052932496329913
C=C1CC[C@@H]2[C@H]([C@H]3[C@H]1CC[C@]3(C)O)C2(C)C,3.3858000000000024,220.35599999999994,20.23,1,1,0,0.6204323431933563,4.301885269260569
CC(C)[C@]12CC(=O)[C@H](C)[C@H]1C2,2.2576,152.23699999999997,17.07,0,1,1,0.5629498098503591,4.20782663728714
CC(C)C12CCC(C)(O)C1C2,2.1935000000000002,154.253,20.23,1,1,1,0.6135466733786061,4.223057406517908
CC(C)=CCC[C@@H](C)[C@]12CC[C@@](C)(O)[C@H]1C2,3.9200000000000026,222.37199999999996,20.23,1,1,4,0.714773084683654,4.496288696021102
CC(=O)OC(C)(C)C1CCC2(C)OC2C1,2.2857000000000003,212.28899999999996,38.83,0,3,2,0.5204445217646153,3.9834754144887876
CC(C)=CCC[C@H](C)[C@]12CC[C@@](C)(O)[C@H]1C2,3.9200000000000026,222.37199999999996,20.23,1,1,4,0.714773084683654,4.496288696021102
CC(C)=CCC[C@H](C)[C@]12CC[C@](C)(O)[C@H]1C2,3.9200000000000026,222.37199999999996,20.23,1,1,4,0.714773084683654,4.496288696021102
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,4.607600000000004,416.9450000000003,60.440000000000005,0,4,2,0.6166116116190477,4.8266427680866775
